Family,Product,Patch,PRB,PRB type,Description
Yokohama,Document Intelligence Unified Backend,Yokohama Patch 11,PRB1934265,Other Fix,"Yokohama Patch 11
Document type and config are overridden in certain views
When the user loads a doc_qna use case in table view, the 'Document Type' and 'Document Config' are reset to the default doc extraction values."
Yokohama,Scan Engine,Yokohama Patch 8,PRB1934227,Other Fix,"Yokohama Patch 8
Create a global family release plugin
This is a product update."
Yokohama,Fenix (Family),Yokohama Patch 10,PRB1934205,Other Fix,"Yokohama Patch 10
In the Fenix plugin, scope accessibility issue in getJobStatuses ByDeployments
Unlike other batch mode APIs, this one doesn't support cross-scope access. It supports invocation only from the global scope. For consistency and usability, it would be helpful if this could be made accessible from the global scope.

1. Create a scope.
2. Create a batch manifest in that scope.
3. Execute it a few times so that there are records in the fenix_job_status table.
4. Run a script to get the job_statuses, but be sure to execute the script from the new scope.See that it generates the following error: 'script execution error: Script Identifier: null.null.script, Error Description: invalid return type: org.json.JSONArray, Script ES Level: 200 Evaluator.evaluateString() problem: java.lang.RuntimeException: invalid return type: org.json.JSONArray: com.glide.script.fencing. ScopedFunction ObjectTypeHandler .coerceReturnValue (ScopedFunction ObjectTypeHandler .java:338)'."
Yokohama,Virtual Agent,Yokohama Patch 8,PRB1934196,Other Fix,"Yokohama Patch 8
Planner2ResponseHandler fills up the expression cache on the Rhino Engine
Under a load of 25 users on a single node (one hour) for only search actions performed, it occupies more than 500MB.

1. Set up NAVA.
2. Perform search actions from the chat window.Observe that the expression cache is filled up due to this. Under a load of 25 users on a single node (one hour) for only search actions performed, observe that it occupies more than 500MB."
Yokohama,Application Install Engine,Yokohama Patch 8,PRB1934177,Other Fix,"Yokohama Patch 8
Node is not expanding the artifact"
Yokohama,Virtual Agent,Yokohama Patch 8,PRB1934159,Other Fix,"Yokohama Patch 8
Update live agent message to 'There aren't any live agents available at the moment. I'm able to handle a wide range of requests, though. How can I help?'
When processing messages for QnA, the handle scenario Planner1 returns the response in the older format."
Yokohama,Software Models,Yokohama Patch 10,PRB1934098,Other Fix,"Yokohama Patch 10
Security bug
"
Yokohama,Event Management,Yokohama Patch 9,PRB1934096,Other Fix,"Yokohama Patch 9
There's a regex preview mismatch in Enrich due to Java vs JavaScript engine differences
In the 'Enrich' page, the regex preview incorrectly shows no match even when the regex is valid and works correctly on actual events. This discrepancy, caused by differences between Java and JavaScript regex engines, has been observed by multiple users and leads to confusion when building enrichment rules."
Yokohama,Virtual Agent,Yokohama Patch 8,PRB1934004,Other Fix,"Yokohama Patch 8
Agents and use cases aren't getting discovered when giving the utterance as 'Resolve an incident' in Now Assist panel (NAP)
Agents should be discovered and show to the user, and should be picked up automatically to begin execution.

1. Navigate to the instance.
2. Open NAP.
3. Give the utterance, 'How to resolve an incident'.
4. Observe that agents are getting discovered and are shown to the user.
5. Give utterance as 'resolve an incident INC000XXXX'.Observe that the agent is picked automatically and begins execution."
Yokohama,Upgrade Center,Yokohama Patch 9,PRB1933942,Other Fix,"Yokohama Patch 9
Skipped error after upgrading
The user gets a skipped error after upgrading the instance from Xanadu to Yokohama. The reason is 'Skipping unavailable system property glide.db.df_engine.enabled. Customers cannot configure this property.' It's included in the plugin 'com.snc.db.df_engine'."
Yokohama,Virtual Agent,Yokohama Patch 8,PRB1933907,Other Fix,"Yokohama Patch 8
Only the LTM Identify memories capability is called when dynamic translation is turned on

1. On the home page, navigate to PreferencesLanguage & Region.
2. Select the language Francais (Canada).
3. Navigate to /esc.
4. Launch DW.
5. Enter a French Canadian query. For example, enter 'vérification du solde des vacances' (holiday balance check).Expected behavior: Agentic capabilities are called, such as Unified Planner, Planner 2 along with TexttoResult, and BGE Reranker.Actual behavior: Only the LTM Identify memories capability is getting called. This issue blocks fr-CA model quality evaluations with dynamic translation turned on."
Yokohama,Discovery,Yokohama Patch 9,PRB1933785,Other Fix,"Yokohama Patch 9
A Cloud Discovery schedule incorrectly maps all related service accounts even when the 'Discover all Related accounts' toggle is unchecked
When creating a Cloud Discovery schedule for a project and un-checking the 'Discover all Related accounts listed below' toggle, the schedule still maps to all service accounts under that folder level. This behavior is intermittent and has been reproduced on multiple environments. The UI script logic doesn't correctly handle timing between setAllSubAccSelected and getSubAccountsOfMasterAccount. As a result, subAccountsList is reset incorrectly, leading to unintended account mappings."
Yokohama,Virtual Agent,Yokohama Patch 8,PRB1933783,Other Fix,"Yokohama Patch 8
'Found 10 documents' message shows in web search mode
The 'Found 10 documents' message is irrelevant in web search mode.

1. Open /esc.
2. Enable Web Search mode.
3. Enter, 'What is the weather today.'Notice the 'Found 10 documents message'."
Yokohama,Discovery,Yokohama Patch 8,PRB1933778,Other Fix,"Yokohama Patch 8
Add MID configuration parameter names in commons for the integration to store private keys
This is a product update."
Yokohama,Virtual Agent Web Client,Yokohama Patch 8,PRB1933741,Other Fix,"Yokohama Patch 8
Stacked messages appear during websearch

1. Navigate to /esc.
2. Enable websearch by selecting the Globe icon.
3. Query, 'Who is the president of the US'.Expected behavior: No stacked messages should appear when web searching.Actual behavior: Stacked messages appear."
Yokohama,Virtual Agent,Yokohama Patch 8,PRB1933716,Other Fix,"Yokohama Patch 8
Stacked messages appear during websearch

1. Navigate to /esc.
2. Enable websearch by selecting the Globe icon.
3. Query 'Who is the president of the US?'Expected behavior: No stacked messages are shown.Actual behavior: Stacked messages are shown."
Yokohama,Now Assist Panel,Yokohama Patch 8,PRB1933709,Other Fix,"Yokohama Patch 8
Live agent is stuck in Now Assist panel (NAP)
The loading message continues when an error message should display instead.

1. Select NAP.
2. Enter 'Can you connect me to live agent'.Expected behavior: The message 'Hmm sorry live agent is not supported' should display.Actual behavior: The loading message keeps on loading."
Yokohama,Health Log Analytics (Family),Yokohama Patch 10,PRB1933691,Other Fix,"Yokohama Patch 10
Security bug
"
Yokohama,Virtual Agent,Yokohama Patch 8,PRB1933690,Other Fix,"Yokohama Patch 8
The people card only returns the first user in a multi-user query

1. Navigate to NAVA.
2. Search 'Tell me about Abel Tuter and Abraham Lincoln'.Expected behavior: The user gets a people card for each user in the query.Actual behavior: The user only gets a response for the first user."
Yokohama,Advanced Work Assignment,Yokohama Patch 9,PRB1933671,Other Fix,"Yokohama Patch 9
AWA (Advanced Work Assignment) uses the system locale timezone when writing to logs
The AWAEventUtil code changes the global locale setting, causing the 'localhost log' to be written in UTC rather than PST (standard).

1. Log in to an instance.
2. Install the Advanced Work Assignment (AWA) plugin.
3. Navigate to Advanced Work AssignmentService ChannelsNew.
4. Enter the following values: 
    1. Name: test
    2. Index order: 100
    3. Table: Incident
    4. Utilization condition: Short Description is not empty
5. Submit it.
6. Ensure that the channel is active.
7. Create a new queue.
8. Open the record created in step 3.
9. Choose the 'Queue' related list.
10. Create a new 'Queue' record.
11. Enter in all the mandatory fields.
12. Submit it.
13. Enable Logging.
14. Open the record created in step 3.
15. Select Queues and New.
16. Name it 'test-queue'.
17. Submit it.
18. Check the localhost log.
19. Have the terminal open for all the nodes.
20. Tail the localhost log.
21. Navigate to IncidentCreate New.
22. Enter in something.
23. Submit it.Observe that the timestamp zone has changed, and some lines are in the previous timezone and others are in UTC."
Yokohama,Server-side scripts,Yokohama Patch 10,PRB1933625,Other Fix,"Yokohama Patch 10
Security bug
"
Yokohama,Virtual Agent,Yokohama Patch 8,PRB1933604,Other Fix,"Yokohama Patch 8
Increase in QueueWait Times under load

1. Setup Now Assist Virtual Agent (NAVA).
2. Execute a load test for a use case."
Yokohama,Virtual Agent,Yokohama Patch 8,PRB1933589,Other Fix,"Yokohama Patch 8
Agents aren't discovered

1. Start a conversation from Dispatcher Workspace or Now Assist Virtual Agent.
2. Enter, 'I would like to order a laptop with accessories.'Observe that no agents are discovered, and only tools are displayed in the Search Result."
Yokohama,Virtual Agent,Yokohama Patch 8,PRB1933571,Other Fix,"Yokohama Patch 8
The 'No answer found' response should always head to fallback
This should occur for both a single and multi-intent query."
Yokohama,Virtual Agent Web Client,Yokohama Patch 11,PRB1933376,Other Fix,"Yokohama Patch 11
Custom protocol links such as kolauncher:// are not rendered to be selected in Virtual Agent Genius responses
In Now Assist Virtual Agent (NAVA), protocol links such as KO Launcher links (kolauncher://) included in Genius Search responses are displayed as plain text and are not recognized as links that can be selected. This impacts workflows where links are critical for launching KO solutions directly from the chatbot.

1. Log in to a Yokohama Patch 5 instance.
2. Impersonate a user.
3. Navigate to /ghd Service Portal.
4. Start a conversation with Virtual Agent.
5. Skip the first question, 'Please select your issue.'
6. Enter a query that returns a KO Launcher link, such as 'Open KO1XXX'.Observe the Genius Search response for the kolauncher://KO1XXX link appears as plain text and cannot be selected."
Yokohama,OneExtend,Yokohama Patch 8,PRB1933309,Other Fix,"Yokohama Patch 8
CheckLLM ModelAvailability takes longer than usual

1. Delete a record from sys_gen_ai_model _availability for gpt_small.
2. Trigger the script."
Yokohama,Case and Knowledge Management for HR Service Delivery,Yokohama Patch 9,PRB1933236,Other Fix,"Yokohama Patch 9
Add RCA to support 'Ask a question' with enhanced chat
This is a product update."
Yokohama,Integration Hub,Yokohama Patch 10,PRB1933193,Other Fix,"Yokohama Patch 10
Configuration data is missing in REST step
The HTTP operation relies upon an output from the IntegrationResolverOp. If it doesn't exist, it falls through and throws an exception."
Yokohama,Virtual Agent,Yokohama Patch 11,PRB1933184,Other Fix,"Yokohama Patch 11
Empty users in sys_gen_ai_usage_log table
In SystemScriptObject, when executeSkill(), if setLicenseUsage() is called before execute(), sys_generative_ai_log would not be created yet and sys_gen_ai_usage_log's User field would not be populated. There may be other instances where the user calls setLicenseUsage(), but there's no conversation.getContext().getGenAILogId().

1. Start a NAP conversation.
2. Execute a skill (for example, order laptop).
3. Navigate to sys_gen_ai_usage_log table.Expected behavior: The User field should be populated.Actual behavior: The User field on the record that was just created is empty."
Yokohama,Virtual Agent,Yokohama Patch 8,PRB1933169,Other Fix,"Yokohama Patch 8
Now Assist Virtual Agent (NAVA) Search isn't working with NowLLM

1. Set up NAVA.
2. Change the model to NowLLM.
3. Search with any utterance."
Yokohama,Virtual Agent,Yokohama Patch 8,PRB1933142,Other Fix,"Yokohama Patch 8
Language detection isn't being honored
In the sys_generative_ai_log, the Unified Planner capability doesn't honor language detection. Also, in one_api_service_plan _feature_invocation, the Unified Planner was not invoked with any of the language flags.

1. Open an instance with language detection turned on.
2. Navigate to the SP page.
3. In chat bot, enter the utterance '¿Qué son las leguminosas?'
4. Observe that the transition message is in English.
5. Navigate to sys_generative_ai_log and look at the Unified Planner capability.Expected behavior: It says 'Generate the response in language Spanish. Do not return any translation. You are allowed to respond only in Spanish.'Actual behavior: It says 'Generate the response in language English. Do not return any translation. You are allowed to respond only in English.'"
Yokohama,Health Log Analytics (Family),Yokohama Patch 11,PRB1933135,Other Fix,"Yokohama Patch 11
Security bug
"
Yokohama,Knowledge Management,Yokohama Patch 10,PRB1933134,Other Fix,"Yokohama Patch 10
Security bug
"
Yokohama,Health Log Analytics (Family),Yokohama Patch 10,PRB1933104,Other Fix,"Yokohama Patch 10
Security bug
"
Yokohama,Virtual Agent,Yokohama Patch 8,PRB1933102,Other Fix,"Yokohama Patch 8
Follow up search abruptly ends the conversation
When performing a second search immediately after the first search, the conversation ends but the search continues.

1. Search for a KB/catalog/topic
2. Search for another KB/Catalog/topic after getting the response.Expected behavior: The user gets a response related to the search from step 2.Actual behavior: The conversation ends and then the search continues."
Yokohama,Virtual Agent,Yokohama Patch 8,PRB1933055,Other Fix,"Yokohama Patch 8
Race condition occurs in a full agentic instance
The response generation step doesn't occur when multiple responses arrive at the same time.
Fire a few of parallel LLM calls during the planner invocationNotice that when multiple responses arrive approximately at the same time, the response generation never ends up getting fired because each parallel invocation thinks there are steps left."
Yokohama,Virtual Agent,Yokohama Patch 8,PRB1933049,Other Fix,"Yokohama Patch 8
Conversation errors out
The conversation errors out in three scenarios.
Scenario 1:

1. Start a conversation from Dispatcher Workspace (DW).
2. Search for Order Laptop with accessories with an agent.
3. Execute the agentNotice that the conversation errors out mid-way.Scenario 2:

1. Start a conversation from DW.
2. Search for any catalog.
3. Attempt to execute the catalog from the Search Result.Notice that the conversation errors.Scenario 3:

1. Start a conversation from DW.
2. Search for any Virtual Agent topic.Notice that the conversation errors."
Yokohama,Internationalization Features,Yokohama Patch 9,PRB1933017,Other Fix,"Yokohama Patch 9
Security bug
"
Yokohama,Database Persistence - Data Access,Yokohama Patch 8,PRB1933012,Other Fix,"Yokohama Patch 8
Process domain separation and BQ rules work per alias rather than per table
This is only noticeable if the same table is used twice in a query."
Yokohama,Case and Knowledge Management for HR Service Delivery,Yokohama Patch 8,PRB1932910,Other Fix,"Yokohama Patch 8
NowAssist Guardian flags the wrong prompts as 'Sensitive'
NowAssist Guardian's Offensiveness filters interpret simple prompts as sensitive. Phrases such as, 'How is my HR' and 'I want to call HR' trigger Guardian response, when they should not.

1. Ensure the instance has Now Assist for Virtual Agent (NAVA).
2. Ensure the instance has Guardian enabled.
3. Navigate to Now Assist AdminSettingsFilters.
4. Enable the filter, 'Employee Personal issues'.
5. Test the virtual agent by entering the prompt, 'how is my HR'.Notice that the sample filters shipped in this filter aren't even related to the phrase."
Yokohama,Database Persistence - Data Access,Yokohama Patch 8,PRB1932785,Other Fix,"Yokohama Patch 8
No response for the queries executed via a non-admin role
The user doesn't get a response for queries when trying to run them as an non-admin user, even when the generated cypher is correct and there is data to be fetched."
Yokohama,List Administration,Yokohama Patch 9,PRB1932703,Other Fix,"Yokohama Patch 9
Display values aren't showing for reference fields within the 'List' component
When including a table on the 'List' component that contains reference fields, it's showing empty. Where as in platform, it shows a value.
"
Yokohama,Database Persistence - Data Access,Yokohama Patch 8,PRB1932532,Other Fix,"Yokohama Patch 8
The Cypher2Result API isn't returning the sys_id of a Workflow Data Fabric record
The sys_id doesn't exist. This is inherent in the general database views as well."
Yokohama,Virtual Agent,Yokohama Patch 8,PRB1932396,Other Fix,"Yokohama Patch 8
Add processing messages for QnA to handle scenarios where Planner1 returns a response in an older format"
Yokohama,Virtual Agent,Yokohama Patch 11,PRB1932380,Other Fix,"Yokohama Patch 11
Security bug
"
Yokohama,AI Search (Glide),Yokohama Patch 11,PRB1932287,Other Fix,"Yokohama Patch 11
Null Pointer Exception occurs during catalog variable indexing when the Choice Text is empty

1. Create or edit a catalog variable with choice options.
2. Leave the Choice Text field empty for one or more options.
3. Trigger the indexing process for the Catalog variable.Observe that a Null Pointer Exception (NPE) occurs during indexing."
Yokohama,Database Persistence - Data Access,Yokohama Patch 8,PRB1932266,Other Fix,"Yokohama Patch 8
Make regex patterns static
There are non-static patterns in DBCypherParser and DBSqlParserForCypher. Regex is expensive enough that it's worth converting."
Yokohama,OAuth,Yokohama Patch 9,PRB1932198,Other Fix,"Yokohama Patch 9
Security bug
"
Yokohama,Virtual Agent,Yokohama Patch 8,PRB1932193,Other Fix,"Yokohama Patch 8
An auto-evaluation run is stuck on 'In progress' when the language is set to Japanese
The evaluation run is stuck on 'In progress' even though the metric result and batch result has completed.

1. Install the Japanese translation app.
2. Set up the Azure OpenAI connection/endpoint.
3. Navigate to sys_properties.
4. Set the 'glide.sys.language' value as 'ja'.
5. Navigate to Preferences.
6. Change the language to Japanese.
7. Create an Azure Open AI skill with the prompt 'generate trivia: {{context}}' where the context is the skill input of the type string.
8. Finalize the prompt.
9. Create a dataset using 'sys_user' records mapping to the name.
10. Create a new evaluation run enabling all the available evaluation methods.
11. Observe that the evaluation run is not completing.
12. Check the sys_one_extend_batch_run.Observe that the metric result and batch result has completed."
Yokohama,AI Search for Virtual Agent,Yokohama Patch 8,PRB1932162,Other Fix,"Yokohama Patch 8
Marking KG 'None' in the Conversational Interface invokes the 'Text To Result' call

1. Setup VA + KG.
2. Open an instance.
3. In the Conversational Interface, mark KG as 'None'.
4. Trigger NLQ from any portal."
Yokohama,AI Search UX,Yokohama Patch 8,PRB1932120,Other Fix,"Yokohama Patch 8
Non-conversational catalogs shouldn't have an option to request in a chat

1. Provision an instance with September GenAI apps.
2. Turn on Dynamic Window (DW) on portal.
3. Search for a non-conversational catalog, like an Apple iPhone.Notice there's a pop-up on the citation for an Apple iPhone 13 with an option to request in chat. A citation for a non-conversational catalog should open in a new tab automatically."
Yokohama,Software Asset Management,Yokohama Patch 8,PRB1932110,Other Fix,"Yokohama Patch 8
SAM Estate Management gets CI Counts PA job, resulting in 17 hour executions in Yokohama
The 'SAM - Software Estate Weekly' job can take up to 17 hours to complete in Yokohama, as opposed to three minutes in Xanadu.

1. Open a Yokohama instance.
2. Run the 'SAM - Software Estate Weekly' job.Observe that the job takes more than 12 hours to complete."
Yokohama,Encryption,Yokohama Patch 10,PRB1931988,Notable Fix,"Yokohama Patch 10
A data migration job fails when there are no context keys and EFC's in the migration_pending state
The job state changes to 'Error', with the following summary: 'Error creating job handler for type all_data_to_kmf: [The KMF cryptographic module to encryption context relationship table is empty. The 'Migrate Key Context to Module' job might not have been run or has failed.].'
"
Yokohama,Virtual Agent,Yokohama Patch 8,PRB1931987,Other Fix,"Yokohama Patch 8
The Search button doesn't show up on DW
On a portal with DW enabled, the Search button doesn't appear next to the feedback icons.

1. Navigate to a portal with DW enabled.
2. Enter 'What is spam?'Expected behavior: The Search button appear next to the feedback icons.Actual behavior: The Search button to show regular results doesn't appear."
Yokohama,Database Persistence - Data Access,Yokohama Patch 8,PRB1931834,Other Fix,"Yokohama Patch 8
Static compile the regular expression alphanumeric pattern in ReductionEngine
Regex compilation is expensive and this shows in performance traces. It should move the member from per instance to static since it's constant."
Yokohama,OneExtend,Yokohama Patch 8,PRB1931779,Other Fix,"Yokohama Patch 8
Single call for Guardian (for Virtual Agent and agentic flows)
This is a product update."
Yokohama,Change Management,Yokohama Patch 8,PRB1931749,Other Fix,"Yokohama Patch 8
The Impact field isn't updated after running risk calculation
When a change_request has the Impact choice field with 'None' enabled, the riskCondition should update the change_request.impact field, but it doesn't. RiskCalculatorSNC is checking the wrong impact field. Instead of the one in the risk_condition table, it's checking the one in the change_request table."
Yokohama,Internationalization Features,Yokohama Patch 9,PRB1931744,Other Fix,"Yokohama Patch 9
Security bug
"
Yokohama,AI Search,Yokohama Patch 8,PRB1931645,Other Fix,"Yokohama Patch 8
AIS listens to events such as 'sys_cache_flush' and can cause stack overflow exception
AIS listens to events such as 'sys_cache_flush' and can cause a stack overflow exception by running a DBQuery, which can insert a record to sys_cache_flush.

1. Enable glide.sys.domain. delegated_administration and glide.sys.domain .partitioning.
2. Create two separated domains.
3. Clear the cache.
4. Update any record.Observe the stack overflow exception in the logs."
Yokohama,Mobile Platform,Yokohama Patch 8,PRB1931576,Other Fix,"Yokohama Patch 8
Offline-mode payload generation has excessive memory retention, causing performance degradation due to an SG offline document job
The Yokohama release introduced major changes to the way in which mobile offline payloads are generated, most notably embedded forms are now transformed into redirected forms. This removes the embedded forms from list screen documents and turns them into separate documents. With that change resulted in an increase in the number of documents that are processed during offline payload generation. This number can spike to as large as twice or three times as many documents processed compared to previous releases. As such, this results in an excessive number of GlideRecord instances being retained in memory. This has been seen to cause memory issues, node restarts, and severe performance degradation for users."
Yokohama,Inbound IP Address Access Control,Yokohama Patch 10,PRB1931553,Other Fix,"Yokohama Patch 10
Database connections Pool Exhaustion issue
DBIs fail to establish new connections after approximately 2.5 hours."
Yokohama,Integration Hub,Yokohama Patch 8,PRB1931511,Other Fix,"Yokohama Patch 8
Support WS-security profiles in a Flow Designer SOAP step on MID
This is a product update."
Yokohama,HR Service Delivery,Yokohama Patch 8,PRB1931448,Other Fix,"Yokohama Patch 8
The Suspend Reason field isn't present on a form by default
This causes a discrepancy in populating the suspend reason in the work notes in an HR case."
Yokohama,Integration Hub,Yokohama Patch 9,PRB1931168,Other Fix,"Yokohama Patch 9
SSE step does not run on MID

1. Create an action with an SSE step and check the run on the MID checkbox.
2. Test the action.Notice the error 'SSE is only available on instance'. Individual chunks are not processed by the handler."
Yokohama,Virtual Agent,Yokohama Patch 8,PRB1931090,Other Fix,"Yokohama Patch 8
A conversation gets stuck when Planner 1 fails an action with 'Unknown finish type'
If 'ITSM incident resolution agent' can't find the resources it needs, it gives a fallback response and returns control to Planner 1. Planner 1 gives a reply but this is never shown to user and control never returns to user in chat. It's stuck on 'formulating a final response'.

1. Navigate to an instance.
2. Query 'create a resolution plan for INC0000055'.
3. An ITSM incident resolution agent can't find similar KBs so it gives a fallback message.Expected behavior: Planner 1 returns control to the user and possibly displays a 'if you need further assistance' message.Actual behavior: It's stuck forever with a spinning wheel 'formulating a final response'."
Yokohama,Email Notifications,Yokohama Patch 8,PRB1930940,Notable Fix,"Yokohama Patch 8
Email parts are deleted when moving to a draft in workspace
Email issues are observed in the workspace. After copying and pasting the information, it's deleted."
Yokohama,AI Search UX,Yokohama Patch 9,PRB1930672,Other Fix,"Yokohama Patch 9
Service Portal Genius Result (GR) synthesized response flashes and changes text size"
Yokohama,Configuration Management Database (CMDB),Yokohama Patch 9,PRB1930654,Notable Fix,"Yokohama Patch 9
The legacy health dashboard doesn't tell the user that the dashboard is deprecated/no longer supported
Users have bookmarked, saved, or edited links to the legacy health dashboard, meaning they can still access it. There's a lot of confusion on why the dashboard is no longer working as intended. There should be a message to tell the user this dashboard has been migrated to CMDB Workspace.

1. Check out a Washington DC instance.
2. Make a favorite for Health Dashboard - CMDB view.
3. Upgrade your instance to Xanadu or beyond.
4. Select the bookmark for the CMDB view.Expected behavior: When users navigate to the legacy dashboard, they should be able to see a message telling them to use the new health dashboard and that the legacy dashboard is no longer supported.Actual behavior: See that the legacy health dashboard has some broken widgets, no colors, etc. but there is no indication that this dashboard is retired or has been migrated."
Yokohama,Software Asset Data Import,Yokohama Patch 10,PRB1930648,Other Fix,"Yokohama Patch 10
The excel row field isn't populated for standard import
The excel_row field should be populated with information from the row in an imported file corresponding to that import error, but it's empty.

1. Import a standard import document from the samp_bulk_import table.
2. Open an import error record generated from the import.
3. Check the excel_row field from the XML.Expected behavior: The excel_row field should be populated with information from the row in the imported file corresponding to that import error.Actual behavior: The excel_row field is empty."
Yokohama,Instance Clone (Family),Yokohama Patch 8,PRB1930639,Other Fix,"Yokohama Patch 8
Clone Admin console 'Request' page performance
Navigate to Clone AdminRequest CloneNotice that the 'Request' page takes an average of 20 secs to load."
Yokohama,AI Search (Glide),Yokohama Patch 9,PRB1930534,Other Fix,"Yokohama Patch 9
When used on service portals, 'Exact Match' should honor search sources
When using the 'Exact Match' feature on a service portal, the results of the exact match lookups should be limited to the sources which are included in the search profile, and honor the filters set on the search sources."
Yokohama,Multi-factor Authentication (MFA),Yokohama Patch 11,PRB1930438,Other Fix,"Yokohama Patch 11
Security bug
"
Yokohama,Virtual Agent,Yokohama Patch 8,PRB1930434,Other Fix,"Yokohama Patch 8
Multilingual functionality is broken, and the complete flow is not working as expected
This issue was observed in Yokohama with RAG 3.0.4 after the ynowassist nightly build occurred.

1. Impersonate as user with Japanese session language.
2. Ensure 'glide.sys.language' system property is in Japanese with the system property value would be 'ja'.
3. Create a skill.
4. Add RAG as tool.
5. Execute the skill.Expected behavior: The skill and RAG tool should execute successfully.Actual behavior: RAG is failing with attached error."
Yokohama,Problem Management,Yokohama Patch 11,PRB1930428,Other Fix,"Yokohama Patch 11
Problem coordinators can't associate closed incidents to problems in Service Operations Workspace (SOW)
Problem coordinators can't associate closed incidents to problems in SOW due to a change in the script include 'related_list_edit_helper' from using GlideRecord to GlideRecordSecure. The MRA in the workspace lists closed incidents for linking, but then ACLs block the writing of the record. This is not the case in UI16, as it uses a different script include."
Yokohama,Health Log Analytics (Family),Yokohama Patch 10,PRB1930270,Other Fix,"Yokohama Patch 10
Security bug
"
Yokohama,Health Log Analytics (Family),Yokohama Patch 9,PRB1930254,Other Fix,"Yokohama Patch 9
Security bug
"
Yokohama,Content Experiences,Yokohama Patch 8,PRB1930250,Other Fix,"Yokohama Patch 8
When selecting the Previous or Next buttons on the 'Rich Content' widget, the page scrolls to the top
The position should remain unchanged.
"
Yokohama,Data Privacy (Classic),Yokohama Patch 8,PRB1930243,Other Fix,"Yokohama Patch 8
Clone Job License Check issue
Data Privacy (Classic) on an instance can create anonymization clone policies to create anonymization jobs. When cloning from one instance to another, the PostClone script picks up the anonymization clone policy and creates a federated job on the target instance, which then anonymizes the data on the cloned instance using the configurations in the policy.

1. Activate the data privacy plugin (sn_dp_store_app) on the source instance.
2. Elevate the data_privacy_admin role.
3. Navigate to System SecurityData PrivacyAnonymization.
4. Select Create new policy.
5. Select Data tables or columns.
6. Select Create.
7. Enter a name.
8. Select a data class.
9. Select Activate the policy during cloning.
10. Select the policy order to run if there are multiple clone policies.
11. Select Continue.
12. Complete the policy configuration.
13. Publish the policy.
14. Back up the data privacy configurations.
15. Schedule the anonymization job.
16. Submit a clone request as a data privacy admin.Notice that the data privacy PostClone script executes on the target instance, creating a data privacy federated job record on it. The federated job creates and executes a data privacy job for each post-clone policy in Application Order on the target instance, and the backup source is also cloned there. The data privacy PostClone script creates and executes data privacy jobs for configured policies on the target instance. The elevated data privacy clone processor can log on to the target instance and monitor the post-clone federated job state on the dp_federated_job.list and dp_job.list."
Yokohama,Discovery,Yokohama Patch 9,PRB1930200,Other Fix,"Yokohama Patch 9
Protected Tables Plugin will block DiscoverySensorJob logging, and cause warnings about syslog inserts from ProtectedTableAccessHandler instead
When the Protected Tables Plugin is active, which is recommended, the source= DiscoverySensorJob GlideRecord inserts made directly to the syslog table by Discovery's 'DiscoverySensorJob' script include are blocked, and flood the syslog table with logs from source=ProtectedTableAccessHandler instead.
"
Yokohama,Database Persistence - Data Access,Yokohama Patch 10,PRB1930031,Other Fix,"Yokohama Patch 10
The user doesn't get results from a child table (sn_lg_cnt_repository) of Parent (ast_contract)"
Yokohama,Playbooks (Family Channel),Yokohama Patch 9,PRB1929942,Other Fix,"Yokohama Patch 9
Security bug
"
Yokohama,Employee Taxonomy Framework,Yokohama Patch 9,PRB1929919,Other Fix,"Yokohama Patch 9
Security bug
"
Yokohama,Playbook Experience Core,Yokohama Patch 9,PRB1929896,Other Fix,"Yokohama Patch 9
The playbook lane isn't translated to Italian
This is an issue with record generator. It can also be reproduced by going to 'Playbook Preview' and selecting the record generator for the record.

1. Log in to any instance.
2. Switch the language to Italian from the menu preference.
3. Open WorkspacesRisk workspace.
4. Select the List icon.
5. Select Risk assessment planningScheduled assessment.
6. Select New.
7. Observe that the playbook lane is still coming in the English language.Expected behavior: The playbook lane should be translated to Italian.Actual behavior: The playbook lane isn't translated to Italian."
Yokohama,Service Catalog,Yokohama Patch 8,PRB1929611,Other Fix,"Yokohama Patch 8
E2E time for catalog generation use case is more than 10 seconds (SLA)

1. Consider the latest track and complete the set up for text to catalog with latest snapshot versions.
2. Consider a prompt which would create a 8-9 questions.
3. Measure the time taken for the API to create the item (The 'Generation of Catalog Item' scripted rest resource)."
Yokohama,Database Persistence - Data Access,Yokohama Patch 8,PRB1929610,Other Fix,"Yokohama Patch 8
Cypher with a WDF and physical table isn't working

1. Navigate to an instance.
2. Impersonate a user.
3. Ask the query, 'last bonus and department of Abel Tuter'."
Yokohama,OneExtend,Yokohama Patch 8,PRB1929447,Other Fix,"Yokohama Patch 8
Must increase prompt size to 40k
sys_generative_ai_config and prompt (Prompt Template) is a max length of 4000 and clips on Oracle clients (or any with strict column validation)."
Yokohama,OneExtend,Yokohama Patch 8,PRB1929432,Other Fix,"Yokohama Patch 8
Improved accuracy of security detectors by leveraging attributes exclusion list
This is a product update."
Yokohama,Horizon Component Library,Yokohama Patch 8,PRB1929229,Notable Fix,"Yokohama Patch 8
Theme changes when opening an HR Case record page
There's user theme preference changes automatically when creating/opening an HR Case form from the workspace.
"
Yokohama,Cloud Provisioning and Governance,Yokohama Patch 11,PRB1929133,Other Fix,"Yokohama Patch 11
Security bug
"
