"uid","name","description","owner","owner_uid","publication_stage","audience","approval_status","provenance","type","category","tags","url","api_endpoint","creation_date","last_data_updated_date","last_metadata_updated_date","domain","derived_view","visits","downloads","row_count","column_count","contact_email","license","attribution","attribution_link","published_version_name","published_version_uid","parent_uid","dataowner_department","department_department","refreshfrequency_frequency","transparencyapp_application","dataowner_owner"
"5avq-r9hj","City of Seattle Staff Demographics","This dataset includes all current City of Seattle Employees.","Seattle Dept of Human Resources","esb3-8svb","published","public","approved","official","dataset","City Administration","gender,race,age,demographics,equity,ethnicity","https://cos-data.seattle.gov/d/5avq-r9hj","https://cos-data.seattle.gov/resource/5avq-r9hj.json","2019-02-25T20:07:33.000","2026-03-30T15:08:09.000","2026-03-30T15:08:05.000","cos-data.seattle.gov","false","38038","2596","13864","7",,"Public Domain","Seattle Department of Human Resources",,,,,,"Seattle Department of Human Resources","Monthly",,
"wj44-r6br","PDRs After using ""City of Seattle Public Records Request Center""","Public disclosure requests received by the Seattle Police Department since the creation of the City of Seattle Public Records Request Center (powered by GovQA) in 2016.","spd2internetData","avyg-ej9j","published","public","approved","official","dataset","City Administration",,"https://cos-data.seattle.gov/d/wj44-r6br","https://cos-data.seattle.gov/resource/wj44-r6br.json","2015-11-21T00:06:35.000","2024-10-03T14:01:39.000","2025-01-30T04:39:37.000","cos-data.seattle.gov","false","14517","686","133840","15",,"Public Domain","City of Seattle",,,,,,"Seattle Police Department","Daily",,
"65db-xm6k","Fremont Bridge Bicycle Counter","The Fremont Bridge Bicycle Counter began operation in October 2012 and records the number of bikes that cross the bridge using the pedestrian/bicycle pathways. Inductive loops on the east and west pathways count the passing of bicycles regardless of travel direction. The data consists of a date/time field: Date, east pathway count field: Fremont Bridge NB,  and west pathway count field: Fremont Bridge SB. The count fields represent the total bicycles detected during the specified one hour period. Direction of travel is not specified, but in general most traffic in the Fremont Bridge NB field is travelling northbound and most traffic in the Fremont Bridge SB field is travelling southbound.","Zuniga, Rafael","psms-jbhq","published","public","approved","official","dataset","Transportation","bike,traffic,seattle,fremont,counts,bike counts,bicycle","https://cos-data.seattle.gov/d/65db-xm6k","https://cos-data.seattle.gov/resource/65db-xm6k.json","2013-03-14T19:37:34.000","2026-03-10T22:16:37.000","2026-03-10T22:16:36.000","cos-data.seattle.gov","false","47068","34697","117539","4",,"Public Domain","City of Seattle",,,,,,"Seattle Department of Transportation","Monthly",,
"vsae-57cr","Bridging The Gap Accomplishments 2007 to 2011","In 2006, Seattle voters passed a nine-year, $365 million levy for transportation maintenance and improvements known as Bridging the Gap. The levy is complemented by a commercial parking tax. The levy funds programs to address the maintenance backlog for paving; sidewalk development and repairs; bridge repair, rehabilitation and seismic upgrades; tree pruning and planting; transit enhancements; and other much needed maintenance work. Funding also supports projects that implement the Bicycle and Pedestrian Master plans, create a Safe Routes to School Program, improve transit connections and help neighborhoods get larger projects built through the Neighborhood Street Fund large project program.","Hagenah, Alex","df6i-6rv6","published","public","approved","official","dataset","Transportation","archive","https://cos-data.seattle.gov/d/vsae-57cr","https://cos-data.seattle.gov/resource/vsae-57cr.json","2011-10-18T20:44:00.000","2018-12-20T00:47:34.000","2025-01-30T04:29:41.000","cos-data.seattle.gov","false","6996","412","33146","27","chad.lynch@seattle.gov","Public Domain","City of Seattle","http://www.seattle.gov/transportation/BridgingtheGap.htm",,,,,"Seattle Department of Transportation","One Time",,
"jguv-t9rb","Seattle Pet Licenses","A list of active/current Seattle pet licenses, including animal type (species), pet's name, breed and the owner's ZIP code.

(List current as of April 1, 2026)","Ehrlich, Arlene","jd7t-5hjm","published","public","approved","official","dataset","City Administration","shelter,tag,pet,license,fas,animal","https://cos-data.seattle.gov/d/jguv-t9rb","https://cos-data.seattle.gov/resource/jguv-t9rb.json","2017-01-24T22:04:13.000","2026-04-01T17:39:13.000","2026-04-01T17:39:04.000","cos-data.seattle.gov","false","32384","10121","41301","7","seattleanimalshelter@seattle.gov","Public Domain","City of Seattle",,,,,,"Department of Finance and Administrative Services","Quarterly",,
"j4vh-b42a","Broadway Cycle Track North Of E Union St Bicycle Counter (Out of Service)","Due to hardware issues, this counter is no longer in service. Counts are conducted using tubes on a quarterly basis.

The counters consist of two small tube sensors stretching across the street, which are attached to a small metal counting box made by Eco-Counter. The tubes only count people riding bikes. They are very accurate and designed to be used on greenways and cycle tracks.","Zuniga, Rafael","psms-jbhq","published","public","approved","official","dataset","Transportation","bike,bicycle,pedestrian,sdot,seattle,monthly data,counts","https://cos-data.seattle.gov/d/j4vh-b42a","https://cos-data.seattle.gov/resource/j4vh-b42a.json","2014-07-24T17:22:33.000","2021-11-12T23:48:49.000","2025-01-29T16:11:20.000","cos-data.seattle.gov","false","8632","608","63552","4",,"Public Domain","City of Seattle",,,,,,"Seattle Department of Transportation","Monthly",,
"kkzf-ntnu","Emergency Food and Meals Seattle and King County","A list of emergency food (meals, food banks, etc.) available in Seattle and King County.","Clemens, Katie","ucg6-6ndy","published","public","approved","official","dataset","Community and Culture","emergency food and meals seattle and king county,hsd,meals,human services department,food banks,emergency,food,human services","https://cos-data.seattle.gov/d/kkzf-ntnu","https://cos-data.seattle.gov/resource/kkzf-ntnu.json","2020-05-18T17:31:34.000","2026-02-06T18:16:03.000","2026-02-06T18:16:03.000","cos-data.seattle.gov","false","10390","1630","268","12","katie.clemens@seattle.gov","Public Domain","Human Services Department","http://www.seattle.gov/humanservices/",,,,,"Human Services Department","Annually",,
"9bjs-7a7w","SPD Arrest Data","Under the current business process, every seizure (4th Amendment of the US Constitution) conducted under the evidentiary standard of Probable Cause (PC) is documented in the RMS (Mark43). In addition to physical arrests made by officers, the system is configured to capture warrants, and summons arrests (where the officer is affecting a PC seizure on the authority of someone else (the court) and administrative arrest types that document updates to the identity of the subject who was arrested and additional charges. In total, 12 types of arrest are captured in the source.

Note: This data set includes counts of arrest reports written which are distinct from physical, in-custody events.  All counts herein reflect either total counts of arrest reports by the selected filter parameters, and/or the total number of reports written per subject.","SPD_AskSPDAnalytics@seattle.gov","hp7p-wh9r","published","public","approved","official","dataset","Public Safety","seattle police department,crime,spd,arrest,police","https://cos-data.seattle.gov/d/9bjs-7a7w","https://cos-data.seattle.gov/resource/9bjs-7a7w.json","2023-06-05T19:51:02.000","2026-04-01T15:05:34.000","2026-04-01T15:04:05.000","cos-data.seattle.gov","false","18719","4778","133156","33","SPD_AskSPDAnalytics@seattle.gov","Public Domain","SPD",,,,,,"Seattle Police Department","Daily",,
"kzjm-xkqj","Seattle Real Time Fire 911 Calls","Provides Seattle Fire Department 911 dispatches. Updated every 5 minutes.","Ward, Evan L","w8f2-69ad","published","public","approved","official","dataset","Public Safety","fire,seattle,sfd mobile,911,dispatch e911","https://cos-data.seattle.gov/d/kzjm-xkqj","https://cos-data.seattle.gov/resource/kzjm-xkqj.json","2010-01-08T21:48:17.000","2026-04-01T19:00:45.000","2025-01-29T16:56:29.000","cos-data.seattle.gov","false","215698","46491","2153474","12",,"Public Domain","City of Seattle","http://web5.seattle.gov/MNM/incidentresponse.aspx",,,,,"Seattle Fire Department","Near Realtime",,
"2qns-g7s7","Seattle Police Disciplinary Appeals","This table shows all disciplinary appeals by Seattle Police officers since 2016. The Seattle City Attorney's Office Employment Section handles all employee appeals of discipline and shares status updates with OPA. 

Multiple rows with the same OPA case number indicate more than one officer appealed discipline under that case.","Eric Seely","avp3-c5p7","published","public","approved","official","dataset","Public Safety","discipline,appeals,appeal,spd appeals,police accountability,police","https://cos-data.seattle.gov/d/2qns-g7s7","https://cos-data.seattle.gov/resource/2qns-g7s7.json","2020-06-10T00:46:45.000","2024-02-20T23:48:16.000","2025-03-04T14:28:57.000","cos-data.seattle.gov","false","1922","248","124","8","eric.seely@seattle.gov","Public Domain","OPA",,,,,,"Office of Police Accountability","Other",,
"bwk6-iycu","2022 Paid Parking Occupancy","The City of Seattle has created an on-street paid parking occupancy data set and is providing access to this data set for public use for research and entrepreneurial purposes under the City’s Open Data Program. This data set contains all records for 2022.","Snyder, MaryCatherine","4pks-8wcm","published","public","approved","official","dataset","Transportation","parking,pay stations,sdot,curbspace","https://cos-data.seattle.gov/d/bwk6-iycu","https://cos-data.seattle.gov/resource/bwk6-iycu.json","2023-01-25T23:59:09.000","2023-01-26T20:56:51.000","2025-03-04T14:28:56.000","cos-data.seattle.gov","false","1254","740","263654114","12","marycatherine.snyder@seattle.gov","Public Domain","Seattle Department of Transportation","http://www.seattle.gov/transportation/projects-and-programs/programs/parking-program/maps-and-data",,,,,"Seattle Department of Transportation","One Time",,
"m33m-84uk","Closed Case Summaries (2022-2023)","This table contains links to all Closed Case Summaries published online in 2022 and 2023. Closed Case Summaries posted between 2015 and 2021 are available on the OPA website at https://www.seattle.gov/opa/news-and-reports/closed-case-summaries.","Eric Seely","avp3-c5p7","published","public","approved","official","dataset","Public Safety","opa,investigation,office of police accountability,police accountability","https://cos-data.seattle.gov/d/m33m-84uk","https://cos-data.seattle.gov/resource/m33m-84uk.json","2022-01-03T17:02:17.000","2026-02-21T22:04:29.000","2026-02-21T22:04:29.000","cos-data.seattle.gov","false","45891","2387","533","3","eric.seely@seattle.gov","Public Domain","OPA","http://www.seattle.gov/opa",,,,,"Office of Police Accountability","Other",,
"3rv8-t4pb","Civil Rights Training and Outreach Events by Month, 2017-Present","The Enforcement Division of the Seattle Office for Civil Rights provides training and participates in outreach events. This dataset shows the number of events each month.","Beach, Monica","a7mz-bafv","published","public","approved","official","dataset","City Administration","training,rights,race and ethnicity,race,outreach,civil rights,discrimination,office of civil rights,disability","https://cos-data.seattle.gov/d/3rv8-t4pb","https://cos-data.seattle.gov/resource/3rv8-t4pb.json","2024-03-07T19:08:15.000","2026-03-10T18:12:13.000","2026-03-10T18:12:12.000","cos-data.seattle.gov","false","2072","66","20","15","civilrights@seattle.gov","Public Domain","Office of Civil Rights",,,,,,"Seattle Office for Civil Rights","Monthly",,
"rjzv-bp3r","Commercial Vehicle License Plates for 3rd Ave Camera Enforcement","Commercial Vehicle Load Zones (CVLZ) were established to provide a special parking space for service delivery vehicles to stop on busy streets. This dataset shows which vehicles have access to the 3rd Ave restricted travel zone to vehicles with the CVLZ permit.","Bobby Lindsey","sde7-mcvt","published","public","approved","official","dataset","Transportation","parking,zone,vehicle,sdot,commercial","https://cos-data.seattle.gov/d/rjzv-bp3r","https://cos-data.seattle.gov/resource/rjzv-bp3r.json","2024-12-02T22:25:54.000","2026-03-31T21:34:15.000","2026-03-31T21:34:14.000","cos-data.seattle.gov","false","7052","54","2304","3","Bobby.Lindsey@seattle.gov","Public Domain","SDOT",,,,,,"Seattle Department of Transportation","Daily",,
"675b-cqew","Westlake PBL at Newton St Bicycle Counter (Out of Service)","Due to hardware issues, this counter is no longer in service. Counts are conducted using tubes on a quarterly basis.

The counters consist of two small tube sensors stretching across the path, which are attached to a small metal counting box made by Eco-Counter. The tubes only count people riding bikes. They are very accurate and designed to be used on greenways and cycle tracks.","Zuniga, Rafael","psms-jbhq","published","public","approved","official","dataset","Transportation","monthly data,bike,bicycle,seattle,sdot,counts","https://cos-data.seattle.gov/d/675b-cqew","https://cos-data.seattle.gov/resource/675b-cqew.json","2018-11-07T20:38:59.000","2021-11-12T23:45:25.000","2025-01-29T05:30:23.000","cos-data.seattle.gov","false","811","501","31118","4",,"Public Domain","Seattle Department of Transportation",,,,,,"Seattle Department of Transportation","Monthly",,
"v5tj-kqhc","Seattle Parks And Recreation Park Addresses","Seattle Parks and Recreation Park Addresses with X and Y coordinates","kylegriggs","9jk7-5nih","published","public","approved","official","dataset","Community and Culture","recreation,seattle,parks,addresses,address","https://cos-data.seattle.gov/d/v5tj-kqhc","https://cos-data.seattle.gov/resource/v5tj-kqhc.json","2016-03-11T17:51:33.000","2024-05-29T20:55:29.000","2025-01-30T04:25:47.000","cos-data.seattle.gov","false","28808","2758","412","12","Shehzad.Qureshi@seattle.gov","Public Domain","City of Seattle","http://www.seattle.gov/parks",,,,,"Seattle Parks and Recreation","Annually",,
"uh8h-bme7","Chief Sealth Trail North of Thistle Bicycle Counter (Out of Service)","Due to hardware issues, this counter is no longer in service. Counts are conducted using tubes on a quarterly basis.

Previous counter counted both people riding bikes and pedestrians. Separate volumes are tallied for each travel mode. Wires in a diamond formation in the concrete detect bikes and an infrared sensor mounted on a wooden post detects pedestrians. The counters also capture the direction of travel for both bikes and pedestrians.","Zuniga, Rafael","psms-jbhq","published","public","approved","official","dataset","Transportation","monthly data,bicycle,bike,counts,seattle,sdot,pedestrian","https://cos-data.seattle.gov/d/uh8h-bme7","https://cos-data.seattle.gov/resource/uh8h-bme7.json","2014-02-04T16:28:11.000","2021-11-12T23:32:22.000","2025-01-30T04:21:20.000","cos-data.seattle.gov","false","4684","407","29174","6",,"Public Domain","City of Seattle",,,,,,"Seattle Department of Transportation","Monthly",,
"tpvk-5fr3","COBAN Logs","Note: The dataset is no longer being updated as the COBAN video system is no longer in use, and it will be removed from data.seattle.gov on 12/31/2023.

This dataset includes Police In-Car video activities. Data shows activity of In-Car recorded video including, Officer Serial Number, Start (Date & Time) of video, post recording activity code and description. Data is refreshed on a weekly basis. Data is records of video and does not imply that there is actual playable video associated.","spd2internetData","avyg-ej9j","published","public","approved","official","dataset","Public Safety","coban logs","https://cos-data.seattle.gov/d/tpvk-5fr3","https://cos-data.seattle.gov/resource/tpvk-5fr3.json","2015-01-10T20:19:45.000","2021-12-06T16:30:06.000","2025-01-30T04:14:12.000","cos-data.seattle.gov","false","16397","777","69439659","6",,"Public Domain","City of Seattle",,,,,,"Seattle Police Department","Daily",,
"5src-czff","Checkouts By Title (Physical Items)","This dataset includes a log of all physical item checkouts from Seattle Public Library. The dataset begins with checkouts that occurring in April 2005. Data from 2005 to 2016 in this dataset is from digital artwork ""Making Visible the Invisible"" by studios of George Legrady. <a href=""https://shelftalkblog.wordpress.com/2022/12/06/how-a-digital-artwork-helped-the-seattle-public-library-lead-in-book-data"">Learn more</a> about this contribution. Renewals are not included. Have a question about this data? Ask us!

Data Notes:
There is a machine-readable data dictionary available to help you understand the collection and item codes. Access from here:

https://data.seattle.gov/Community/Integrated-Library-System-ILS-Data-Dictionary/pbt3-ytbc

Also:
1. ""CheckoutDateTime"" (the timestamp field) is rounded to the nearest minute.
2. ""itemType"" is a code from the catalog record that describes the type of item. Some of the more common codes are: acbk (adult book), acdvd (adult DVD), jcbk (children's book), accd (adult CD)
3. ""Collection"" is a collection code  from the catalog record which describes the item. Here are some common examples: nanf (adult non-fiction), nafic(adult fiction), ncpic(children's picture book),  nycomic (Young adult comic books).
4. ""Subjects"" includes the subjects and subject subdivisions from the item record.","David Christensen","dajh-u3xu","published","public","approved","official","dataset","Community and Culture","seattle public library,checkout,spl,circulation","https://cos-data.seattle.gov/d/5src-czff","https://cos-data.seattle.gov/resource/5src-czff.json","2017-03-21T21:06:05.000","2026-04-01T13:45:50.000","2025-01-29T05:28:17.000","cos-data.seattle.gov","false","12194","104360","108917971","10","david.christensen@spl.org","Public Domain","City of Seattle","https://www.spl.org",,,,,"Seattle Public Library","Daily",,
"heuk-48p8","2nd Ave Cycle Track South of Cedar St Bicycle Counter (Out of Service)","The counters consist of two small tube sensors stretching across the track, which are attached to a small metal counting box made by Eco-Counter. The tubes only count people riding bikes. They are very accurate and designed to be used on greenways and cycle tracks.

This counter is currently out of service and not collecting data.","Zuniga, Rafael","psms-jbhq","published","public","approved","official","dataset","Transportation","bike,seattle,sdot,monthly data,counts,bicycle","https://cos-data.seattle.gov/d/heuk-48p8","https://cos-data.seattle.gov/resource/heuk-48p8.json","2018-11-07T19:56:22.000","2020-04-03T19:57:26.000","2025-01-29T15:43:10.000","cos-data.seattle.gov","false","640","793","18288","4",,"Public Domain","Seattle Department of Transportation",,,,,,"Seattle Department of Transportation","Monthly",,
"6gnm-7jex","Current Fleet Surplus/Auction List","Most recent list of fleet equipment sent to auction","Lucy.Bonomo@seattle.gov","2u45-tx99","published","public","approved","official","dataset","City Administration",,"https://cos-data.seattle.gov/d/6gnm-7jex","https://cos-data.seattle.gov/resource/6gnm-7jex.json","2014-03-25T17:01:36.000","2026-01-28T17:52:20.000","2026-01-28T17:52:19.000","cos-data.seattle.gov","false","30671","3141","79","15","lucy.bonomo@seattle.gov","Public Domain","City of Seattle",,,,,,"Department of Finance and Administrative Services","Monthly",,
"axkr-2p68","Building Certificates of Occupancy","Building Certificates of Occupancy","Renu Kushwaha","qfp6-zqp9","published","public","approved","official","dataset","City Administration","buildings,permits,occupancy","https://cos-data.seattle.gov/d/axkr-2p68","https://cos-data.seattle.gov/resource/axkr-2p68.json","2025-05-30T20:57:44.000","2026-04-01T16:01:19.000","2026-04-01T16:01:16.000","cos-data.seattle.gov","false","7606","62","5113","6","xinbao.wang@seattle.gov","Public Domain","Seattle Department of Construction & Inspections","https://services.seattle.gov/Portal/Customization/SEATTLE/welcome.aspx",,,,,"Seattle Department of Construction & Inspections","Daily",,
"tazs-3rd5","SPD Crime Data: 2008-Present","The Seattle Police Department (SPD) replaced its Records Management System (RMS) in May 2019. To preserve data quality and continuity between systems (2008-Present), SPD relied on the National Incident-Based Reporting System (NIBRS). The standardization of crime classifications allows for comparison over time. For more information on definitions and classifications, please visit https://www.fbi.gov/services/cjis/ucr/nibrs. 

Additional groupings are used to analyze crime in SPD’s <a href=""http://www.seattle.gov/police/information-and-data/crime-dashboard"">Crime Dashboard</a>. Violent and property crime categories align with best practices. For additional inquiries, we encourage the use of the underline data to align with the corresponding query. 

Disclaimer: Only finalized (UCR approved) reports are released. Those in draft, awaiting approval, or completed after the update, will not appear until the subsequent day(s). Data is updated once every twenty-four hours. Records and classification changes will occur as a report makes its way through the approval and investigative process.","SPD_AskSPDAnalytics@seattle.gov","hp7p-wh9r","published","public","approved","official","dataset","Public Safety","seastat,offenses,beat,data-driven,nibrs,mcpp,crime","https://cos-data.seattle.gov/d/tazs-3rd5","https://cos-data.seattle.gov/resource/tazs-3rd5.json","2020-02-14T17:57:12.000","2026-04-01T15:22:42.000","2026-04-01T15:03:12.000","cos-data.seattle.gov","false","101712","36414","1524859","19",,"Public Domain","SPD",,,,,,"Seattle Police Department","Daily",,
"bb86-nj6i","Discrimination Complaints Filed by Month and Type, 2017-Present","A discrimination complaint is filed when a formal charge is received at the Seattle Office for Civil Rights. This dataset shows the number of complaints filed by year, month, and type.","Beach, Monica","a7mz-bafv","published","public","approved","official","dataset","City Administration","disability,discrimination,office of civil rights,race,race and ethnicity,civil rights,complaints","https://cos-data.seattle.gov/d/bb86-nj6i","https://cos-data.seattle.gov/resource/bb86-nj6i.json","2024-03-07T21:30:42.000","2026-03-10T18:10:55.000","2026-03-10T18:10:54.000","cos-data.seattle.gov","false","8342","93","68","15","civilrights@seattle.gov","Public Domain","Office of Civil Rights",,,,,,"Seattle Office for Civil Rights","Monthly",,
"pafy-bfmu","OPA Complaint Tracker","Office of Professional Accountability Complaint Tracker Status.
Making the work of the OPA transparent promotes the confidence of both the public and the employees of the department. OPA provides data status of complaints filed and issues of community concern.","Eric Seely","avp3-c5p7","published","public","approved","official","dataset","Public Safety","opa","https://cos-data.seattle.gov/d/pafy-bfmu","https://cos-data.seattle.gov/resource/pafy-bfmu.json","2015-03-25T20:41:24.000","2026-03-20T17:11:20.000","2026-03-20T17:11:15.000","cos-data.seattle.gov","false","8979","593","10277","11","brett@barrett6.com","Public Domain","City of Seattle",,,,,,"Office of Police Accountability","Other",,
"ht3q-kdvx","Land Use Permits","Land Use permits that are in progress or that have been issued in Seattle.","Callison, Moon","w96u-i3ib","published","public","approved","official","dataset","Built Environment","seattle department of construction and inspections,building applications,early design guidance,land use applications,land use permits,master use permits,permit applications,sdci","https://cos-data.seattle.gov/d/ht3q-kdvx","https://cos-data.seattle.gov/resource/ht3q-kdvx.json","2018-04-10T22:56:26.000","2026-04-01T00:23:55.000","2026-04-01T00:23:43.000","cos-data.seattle.gov","false","18018","30509","24299","28","moon.callison@seattle.gov","Public Domain","City of Seattle","http://www.seattle.gov/sdci",,,,,"Seattle Department of Construction & Inspections","Daily",,
"k7a5-emiw","Seattle Police Department In-Car Video Dropped Frame Report","Seattle Police Department In-Car Video Dropped Frame Report","spd2internetData","avyg-ej9j","published","public","approved","official","dataset","Public Safety",,"https://cos-data.seattle.gov/d/k7a5-emiw","https://cos-data.seattle.gov/resource/k7a5-emiw.json","2014-08-21T17:08:55.000","2021-11-30T21:15:08.000","2025-01-29T16:50:26.000","cos-data.seattle.gov","false","15012","1054","174842","12","open.data@seattle.gov","Public Domain","City of Seattle",,,,,,"Seattle Police Department","Other",,
"e285-aq8h","Plan Comments","This dataset shows comments made on building plan sets by reviewers for permits in the city of Seattle. There are usually many comments for each building plan set.","Dev.Nambi@seattle.gov","itw4-gqi9","published","public","approved","official","dataset","Built Environment","building permits,permit applications,seattle department of construction and inspections,construction permits","https://cos-data.seattle.gov/d/e285-aq8h","https://cos-data.seattle.gov/resource/e285-aq8h.json","2025-10-01T21:41:55.000","2025-10-07T18:26:36.000","2025-10-07T18:26:34.000","cos-data.seattle.gov","false","7194","40","26299","8","open.data@seattle.gov","Public Domain U.S. Government","City of Seattle","http://www.seattle.gov/sdci",,,,,"Seattle Department of Construction & Inspections","To Be Determined",,
"4qej-qvrz","Elliott Bay Trail in Myrtle Edwards Park Bicycle and Pedestrian Counter","Counting hardware was replaced summer 2024.

These sensors counts both people riding bikes and pedestrians. Separate volumes are tallied for each travel mode. Wires in a diamond formation in the concrete detect bikes and an infrared sensor mounted on a wooden post detects pedestrians. The counters also capture the direction of travel for both bikes and pedestrians.

The temporary counter data from 5/10/2013 to 12/11/2013 have been combined to this data set which counted only bikes and not pedestrians.","Zuniga, Rafael","psms-jbhq","published","public","approved","official","dataset","Transportation","sdot,pedestrian,monthly data,counts,bike counts,bike,bicycle,seattle","https://cos-data.seattle.gov/d/4qej-qvrz","https://cos-data.seattle.gov/resource/4qej-qvrz.json","2014-02-04T16:34:12.000","2026-01-09T23:31:59.000","2026-01-09T23:31:59.000","cos-data.seattle.gov","false","2236","695","110832","6",,"Public Domain","City of Seattle",,,,,,"Seattle Department of Transportation","Monthly",,
"rke9-rsvs","Paid Parking Occupancy (Last 30 Days)","The City of Seattle has created an on-street paid parking occupancy data set and is providing access to this data set for public use for research and entrepreneurial purposes under the City’s Open Data Program. This data set contains the last 30 days of paid occupancy records (after the seven day data delay).","Snyder, MaryCatherine","4pks-8wcm","published","public","approved","official","dataset","Transportation","parking,pay stations,curb space,sdot","https://cos-data.seattle.gov/d/rke9-rsvs","https://cos-data.seattle.gov/resource/rke9-rsvs.json","2018-09-21T18:25:02.000","2026-04-01T18:13:27.000","2025-03-04T14:28:58.000","cos-data.seattle.gov","false","5352","1112",,"12","marycatherine.snyder@seattle.gov","Public Domain","Seattle Department of Transportation","http://www.seattle.gov/transportation/projects-and-programs/programs/parking-program/maps-and-data",,,,,"Seattle Department of Transportation","Weekly",,
"35qv-xtws","Taps Tracker --  Water Service Application Status","Learn about the status of your water service project. Please have your project address or invoice number ready to search your project status.","SPU Web Team","53k3-a924","published","public","approved","official","dataset","Built Environment",,"https://cos-data.seattle.gov/d/35qv-xtws","https://cos-data.seattle.gov/resource/35qv-xtws.json","2019-03-19T21:52:57.000","2026-04-01T15:58:02.000","2026-04-01T15:58:01.000","cos-data.seattle.gov","false","9851","388","1979","9",,"Public Domain","Seattle Public Utilities",,,,,,"Seattle Public Utilities","Daily",,
"ez4a-iug7","Code Complaints and Violations","All code compliance complaints and violations that SDCI is reviewing and processing.","Callison, Moon","w96u-i3ib","published","public","approved","official","dataset","Built Environment","violations,code complaints and violations,code compliance,complaints,housing,safety,sdci,seattle department of construction and inspections","https://cos-data.seattle.gov/d/ez4a-iug7","https://cos-data.seattle.gov/resource/ez4a-iug7.json","2018-05-16T19:07:12.000","2026-04-01T00:15:10.000","2026-04-01T00:10:56.000","cos-data.seattle.gov","false","44815","119388","238117","21","moon.callison@seattle.gov","Public Domain","City of Seattle","http://www.seattle.gov/sdci",,,,,"Seattle Department of Construction & Inspections","Daily",,
"ppi5-g2bj","Use Of Force","Records representing Use of Force (UOF) by sworn law enforcement officers of the Seattle Police Department.","SPD_AskSPDAnalytics@seattle.gov","hp7p-wh9r","published","public","approved","official","dataset","Public Safety","spd,use of force","https://cos-data.seattle.gov/d/ppi5-g2bj","https://cos-data.seattle.gov/resource/ppi5-g2bj.json","2017-01-28T19:55:05.000","2026-04-01T15:01:16.000","2026-04-01T15:01:12.000","cos-data.seattle.gov","false","19997","4543","18941","11",,"Public Domain","City of Seattle",,,,,,"Seattle Police Department","Daily",,
"3h7e-f49s","39th Ave NE Greenway at NE 62nd St Bicycle Counter (Out of Service)","The counters consist of two small tube sensors stretching across the street, which are attached to a small metal counting box made by Eco-Counter. The tubes only count people riding bikes. They are very accurate and designed to be used on greenways.

This sensor is currently out of service, and no longer collecting data.","Zuniga, Rafael","psms-jbhq","published","public","approved","official","dataset","Transportation","monthly data,pedestrian,bike,sdot,bicycle,seattle,counts","https://cos-data.seattle.gov/d/3h7e-f49s","https://cos-data.seattle.gov/resource/3h7e-f49s.json","2014-02-04T16:51:24.000","2018-06-01T20:28:17.000","2025-01-29T04:38:39.000","cos-data.seattle.gov","false","1454","747","38664","4","rafael.zuniga@seattle.gov","Public Domain","City of Seattle",,,,,,"Seattle Department of Transportation","Monthly",,
"6vkj-f5xf","Library Collection Inventory","The Seattle Public Library's collection inventory. 

There is a data dictionary available to help you understand the codes used in the ""ItemCollection"", ""ItemType"" and ""ItemLocation"" columns. Access here:
https://data.seattle.gov/Community/Integrated-Library-System-ILS-Data-Dictionary/pbt3-ytbc","David Christensen","dajh-u3xu","published","public","approved","official","dataset","Community and Culture","public library,seattle public library,spl,catalog,circulation","https://cos-data.seattle.gov/d/6vkj-f5xf","https://cos-data.seattle.gov/resource/6vkj-f5xf.json","2017-08-24T20:48:36.000","2026-03-06T13:36:47.000","2025-01-29T05:42:53.000","cos-data.seattle.gov","false","19072","430895","151450252","13","david.christensen@spl.org","Public Domain","City of Seattle","http://www.spl.org/",,,,,"Seattle Public Library","Monthly",,
"ium9-iqtc","Street Closures","Short Term Street Closures from issued Street Use permits. These permits are only the closures permitted for non-construction activities, including Block Parties, Play Streets, Farmers markets and Cafe Streets. This dataset does not include closures for parades, festivals, or construction related activities.","SDOT Street Use Data","8k9i-ixp6","published","public","approved","official","dataset","Built Environment","seattle department of transportation,transportation,street closures,streets,street use,closures,permit,sdot","https://cos-data.seattle.gov/d/ium9-iqtc","https://cos-data.seattle.gov/resource/ium9-iqtc.json","2021-05-04T17:57:15.000","2026-03-31T22:00:27.000","2025-01-29T16:09:41.000","cos-data.seattle.gov","false","13339","685","63","18","mai.nakamura@seattle.gov","Public Domain","Seattle Department of Transportation","https://cosaccela.seattle.gov/portal/welcome.aspx",,,,,"Seattle Department of Transportation","Daily",,
"q76w-bfs5","Capital Projects Input Data","Capital Projects Input Data,  Geometry of the Capital projects for the dashboard","Capital Projects","97k3-6f9m","published","public","approved","official","dataset","Land Base",,"https://cos-data.seattle.gov/d/q76w-bfs5","https://cos-data.seattle.gov/resource/q76w-bfs5.json","2020-04-08T20:13:55.000","2025-09-24T19:07:40.000","2025-09-24T19:07:39.000","cos-data.seattle.gov","false","739","228","68","9",,,,,,,,,"Seattle Department of Transportation","One Time",,
