"Resource name",Url,Platform,"ELIXIR Node","Scientific domain","ELIXIR badge",Description,"Principal investigator","bio.tools link","FAIRsharing link"
easyFRAP,https://easyfrap.vmnet.upatras.gr/,,"ELIXIR Greece",,,"easyFRAP-web is a versatile web-based tool that assists quantitative and qualitative analysis of fluorescence recovery after photobleaching (FRAP) data","Zoi Lygerou",https://bio.tools/easyfrap,
EBImage,https://bioconductor.org/packages/release/bioc/html/EBImage.html,,"ELIXIR Germany","Molecular and cellular structures",,"R/Bioconductor package that provides general purpose functionality for the reading, writing, processing and analysis of images. In the context of high-throughput microscopy based cellular assays, EBImage offers tools to transform the images, segment cells and extract quantitative cellular descriptors. Part of the Human Omics Analysis Toolbox","Wolfgang Huber",https://bio.tools/ebimage,
EDAM,http://edamontology.org/page,,"ELIXIR France, ELIXIR Norway",Literature,,"An ontology primarily dedicated to categorising computational tools and data resources","Matus Kalas, Inge Jonassen",https://bio.tools/edam-browser,
EDGAR,https://edgar3.computational.bio.uni-giessen.de/,,"ELIXIR Germany","Evolution and phylogeny",,"Using BLAST score analysis to identify orthologous genes in large groups of related genomes","Alexander Goesmann",https://bio.tools/edgar_genomics,
EDIA,https://proteins.plus/2ozr#edia,,"ELIXIR Germany","Molecular and cellular structures",,"Easily interpretable electron density score for individual atoms. ",,https://bio.tools/edia,
"Edinburgh Genomics Training",https://genomics.ed.ac.uk/service/training/,,"ELIXIR UK",,,"Edinburgh Genomics Training aims to enable researchers to analyse their next-generation sequencing data themselves. It offers a range of hands-on bioinformatics workshops.",,,
EG-CI,https://egci-beta.imsi.athenarc.gr/,,"ELIXIR Greece",,,"The ELIXIR-GR Cloud Infrastructure (EG-CI) is a Cloud infrastructure being developed to support a broad spectrum of bioinformatic services provided to the community of life scientists in Greece and other ELIXIR Members.","Thanasis Vergoulis",,
"EGA beacon",https://ega-archive.org/about/projects-and-funders/beacon/,,"ELIXIR Spain","Genes and genomes",," An API aiming to enable the search of genomic variants and associated information without jeopardising the privacy of the dataset.",,https://bio.tools/ga4gh_beacon,https://fairsharing.org/FAIRsharing.6fba91
"Electron Microscopy Public Image Archive (EMPIAR)",https://www.ebi.ac.uk/empiar/,,EMBL-EBI,"Evolution and phylogeny, Genes and genomes",,"EMPIAR, the Electron Microscopy Public Image Archive, is a public resource for raw, 2D electron microscopy images: it allows users to upload, and download and reprocess the thousands of raw, 2D images used to build a 3D structure.","Gerard Kleywegt",,
"ELIXIR PT Computing Services",https://elixir-portugal.org/elixir-pt-computing-services,,,,,"A computational platform for biological data based on open cloud services.","Mário Silva",,
"ELIXIR Toolkit Theme",https://github.com/ELIXIR-Belgium/elixir-toolkit-theme,,"ELIXIR Belgium",,,"A Jekyll theme designed to support easy deployment of documentation websites, as well as more complex sites requiring a central tool table and linking towards ELIXIR resources.",,,
EMDB,https://www.ebi.ac.uk/pdbe/emdb/,,EMBL-EBI,"Molecular and cellular structures","Core Data Resources, ELIXIR Deposition Databases","The Electron Microscopy Data Bank (EMDB) is a public repository for electron microscopy density maps of macromolecular complexes and subcellular structures. It covers a variety of techniques, including single-particle analysis, electron tomography, and electron (2D) crystallography.",,https://bio.tools/emdb,http://doi.org/10.25504/fairsharing.651n9j
"ENA Data Submission Toolbox",https://rdm.elixir-belgium.org/covid-19/,,"ELIXIR Belgium",,,"Tools to submit sequencing data to the European Nucleotide Archive (ENA). The tools feature a single-step submission process, a graphical user interface, tabular-formatted metadata and the possibility to remove human reads prior to submission.",,,
EnrichedHeatmaps,http://bioconductor.org/packages/devel/bioc/html/EnrichedHeatmap.html,,"ELIXIR Germany",,,"EnrichedHeatmaps is an R package which visualizes the enrichment of genomic signals on specific target region","Roland Eils",https://bio.tools/enrichedheatmap,
Ensembl,https://www.ensembl.org/index.html,,EMBL-EBI,"Evolution and phylogeny, Genes and genomes","Core Data Resources","Produces and maintains automatic and manually curated annotation on eukaryotic genomes. It is integrated with important molecular resources, for example UniProt, and can be accessed programmatically or through a web browser.",,https://bio.tools/ensembl,http://doi.org/10.25504/fairsharing.fx0mw7
"Ensembl Farmed and Domesticated Animals",https://www.ensembl.org/index.html,,"ELIXIR UK","Genes and genomes",,"Provides annotated genomes of farmed and domesticated animals in an easily viewable format via the Ensembl system.","Alan Archibald",,
"Ensembl Genomes",http://www.ensemblgenomes.org/,,EMBL-EBI,"Evolution and phylogeny, Genes and genomes","Core Data Resources","Provides access to genome-scale data from bacteria, protists, fungi, plants and invertebrate metazoa, through a unified set of interactive and programmatic interfaces based on the Ensembl software platform.",,,http://doi.org/10.25504/fairsharing.923a0p
Enterotyping,https://enterotype.embl.de/,,"ELIXIR Germany","Evolution and phylogeny, Genes and genomes",,"Enterotypes are densely populated regions in a high-dimensional space of microbiome community composition, by which human individuals can be stratified. Computational methods to detect and characterise enterotypes in any dataset, either to reproduce previous reports or determine enterotypes in new studies, are provided and explained. Part of the Microbiome Analysis Toolbox. ","Peer Bork",https://bio.tools/enterotyping,
"Environment for Tree Exploration toolkit (ETE Toolkit)",http://etetoolkit.org/,,"ELIXIR Spain","Molecular and cellular structures",,"A Python framework for the analysis and visualization of trees.",,,
ENZO,http://enzo.cmm.ki.si,,"ELIXIR Slovenia",,,"A web tool for easy construction and quick testing of kinetic models of enzyme catalyzed reactions. Automatic assembly and calibration of models of enzymatic reactions based on ordinary differential equations.",,,
ENZYME,https://enzyme.expasy.org/,,"ELIXIR Switzerland","Enzymes, interactions and pathways",,"ENZYME is a repository of information on enzyme nomenclature based on the recommendations of the Nomenclature Committee of the International Union of Biochemistry and Molecular Biology (NC-IUBMB). ENZYME describes each type of characterized enzyme for which an EC (Enzyme Commission) number has been provided.","Ioannis Xenarios, Alan Bridge",https://bio.tools/enzyme,
EnzymeMiner,https://loschmidt.chemi.muni.cz/enzymeminer/,,"ELIXIR Czech Republic",,,"EnzymeMiner identifies putative members of enzyme families or subfamilies and facilitates the selection of promising targets for experimental characterization. Two key selection criteria are (i) the predicted solubility and (ii) the sequence identities visualised using an interactive sequence similarity network. The search query can be a sequence from the Swiss-Prot database or a custom sequence with a custom description of essential residues. The output is an interactive selection table containing annotated identified sequences.","Jiri Hon",https://loschmidt.chemi.muni.cz/enzymeminer/,
EpigenPlot,https://www.epigenplot.com/,,"ELIXIR Hungary","Enzymes, interactions and pathways",,"Online platform for comparing methylation data",,,
ePouta,https://research.csc.fi/-/epouta,,"ELIXIR Finland",,,"Secure cloud for handling sensitive data ",,,
ESpritz,http://protein.bio.unipd.it/espritz/,,"ELIXIR Italy","Proteins and proteomes",,"Efficient detection of protein disorder: web server and tool for protein region detection which are thought to contain no structural content.","Silvio Tosatto",https://bio.tools/espritz,
EURISCO,http://eurisco.ecpgr.org,,"ELIXIR Germany","Evolution and phylogeny",,"European Search Catalogue for Plant Genetic Resources, information about 1.9 million accessions of crop plants and their wild relatives, preserved ex situ by almost 400 institutes.","Stephan Weise",https://bio.tools/eurisco,
"European Galaxy Server",http://usegalaxy.eu/,,"ELIXIR Germany",,"Recommended Interoperability Resources","For analysis of high-throughput sequencing incorporating many tools, training, literature and guides","Rolf Backofen; Björn Grüning",https://bio.tools/galaxy,
"European Genome-phenome Archive (EGA)",https://ega-archive.org/,,"ELIXIR Spain, EMBL-EBI","Genes and genomes","Core Data Resources, ELIXIR Deposition Databases","The European Genome-phenome Archive (EGA) allows users to explore datasets from numerous genotype experiments, including case-control, population and family studies, that are supplied by a range of data providers. ",,https://bio.tools/ega,http://doi.org/10.25504/fairsharing.mya1ff
EuropePMC,http://europepmc.org/,,EMBL-EBI,Literature,"Core Data Resources","Europe PubMedCentral (EuropePMC) contains over 3 million full text life science research articles, of which over 900 000 are open access, and combines these with 30 million abstracts from PubMed and other sources. ","Johanna McEntyre",https://bio.tools/europepmc,http://doi.org/10.25504/fairsharing.cmw6mm
EVA,https://www.ebi.ac.uk/eva/,,EMBL-EBI,"Genes and genomes","ELIXIR Deposition Databases","European Variation Archive","Timothe Cezard",https://bio.tools/eva,http://doi.org/10.25504/fairsharing.cmw6mm
"Evolutionary genealogy of genes: Non-supervised Orthologous Groups (eggNOG)",http://eggnog.embl.de ,,"ELIXIR Germany, ELIXIR Spain","Evolution and phylogeny",,"eggNOG is a database of nested orthologous gene groups (NOGs) infered using unsupervised clustering applied to >2,000 complete genomes followed by comprehensive characterization and analysis of the resulting gene families. eggNOG provides orthologous group assignments at >100 different taxonomic levels as well as multiple sequence alignments, maximum-likelihood trees and broad functional annotations for each group accessible via a web interface or through bulk download. Part of the Microbiome Analysis Toolbox.","Peer Bork",https://bio.tools/eggnog,
EvoPPI,http://evoppi.i3s.up.pt/,,,,,"Allows the easy comparison of publicly available data from the main Protein-Protein Interaction (PPI) databases for the same and distinct species.","Miguel Reboiro-Jato",https://bio.tools/EvoPPI,
Expasy,http://www.expasy.org,,"ELIXIR Switzerland","Proteins and proteomes",,"SIB's resource portal with access to all major tools and databases provided by different SIB groups and external partners. Specific query features allow interacting with many resources at the same time. ","Heinz Stockinger",https://bio.tools/expasy,https://doi.org/10.25504/FAIRsharing.ceeffa
"Expression Atlas",http://www.ebi.ac.uk/gxa,,EMBL-EBI,"Genes and genomes",,"The Expression Atlas allows users to search for gene expression changes measured in various cell types, organism parts, and disease states. It represents a curated subset of the ArrayExpress and GEO Archive experiments.","Irene Papatheodorou",https://bio.tools/expressionatlas,http://doi.org/10.25504/fairsharing.f5zx00
FAIDARE,https://urgi.versailles.inrae.fr/faidare/,,"ELIXIR France","Genes and genomes",,"FAIDARE is a portal developed by ELIXIR-FR as an asset of the ELIXIR Plant Science community. FAIDARE enables data discovery through federations of distant Plant informations systems that have set up a standardized Restful API, the BrAPI. FAIDARE currently allows to do detailed searches of accessions and phenotyping data.","Anne-Françoise Adam-Blondon",https://bio.tools/faidare,
"FAIR Cookbook",https://faircookbook.elixir-europe.org/,,"ELIXIR Luxembourg, ELIXIR Spain, ELIXIR Switzerland, ELIXIR UK",,"Recommended Interoperability Resources","Created by researchers and data managers professionals, the FAIR Cookbook is an online resource for the Life Sciences with recipes that help the research communities to make and keep data Findable, Accessible, Interoperable and Reusable (FAIR). The FAIR Cookbook guides researchers and data stewards of the Life Science domain in their FAIRification journey and provides policy makers and trainers with practical examples to recommend in their guidance and use in their educational material. As a UK-LU joint Node Service, we will continue the development the FAIR Cookbook as well as collaborate towards its sustainability.

This is a joint Node Service between ELIXIR Luxembourg and ELIXIR UK.","Dr. Wei Gu, Dr Philippe Rocca-Serra",,
"FAIR service suite",https://www.dtls.nl/fair-data/fair-data/,,"ELIXIR Netherlands",,,"Data publication technology/tooling based on Linked Data, with associated data management processes. See the FAIR data tools.","Jaap Heringa/Chris Evelo",,
FAIR-checker,https://fair-checker.france-bioinformatique.fr,,"ELIXIR France",,,"FAIR-Checker is a generic tool built on semantic web W3C standards and technologies that aims at assessing the alignement to FAIR principles of web resources, in line with the GO-FAIR and RDA FAIR data maturity model.","Alban Gaignard",https://bio.tools/fair-checker,
"FAIRDOM: Seek",https://fair-dom.org/platform/seek/,,"ELIXIR UK",,,"The SEEK platform is a web-based resource for sharing heterogeneous scientific research datasets, models or simulations, processes and research outcomes. ","Carole Gobel",,https://fairsharing.org/FAIRsharing.nnvcr9
FAIRDOMHub,https://fairdomhub.org,,"ELIXIR Germany",,,"Open source web platform for sharing scientific research assets, models, processes and outcomes. Offering the FAIRDOMHub instance, as well as the SEEK software for own installations. Associated tooling and training.","Wolfgang Mueller",,https://fairsharing.org/FAIRsharing.nnvcr9
FAIRsharing,https://fairsharing.org,,"ELIXIR UK",,"Recommended Interoperability Resources","An information and educational resource of inter-related data standards, databases and policies. ","Susanna-Assunta Sansone",,http://doi.org/10.25504/fairsharing.2abjs5
FAIRtracks,https://fairtracks.net/standards/,,"ELIXIR Norway",,"Recommended Interoperability Resources","FAIRtracks is a set of JSON Schemas defining a draft minimal standard used to consolidate genomic track metadata from various sources, which can be queried by downstream clients through the TrackFind webtool/API.","Sveinung Gundersen",,https://fairsharing.org/FAIRsharing.807b9d
"FAIRTracks Validation Service",http://fairtracks.bsc.es/api/,,"ELIXIR Spain","Genes and genomes",,"This API allows validating JSON contents following JSON Schema defined at https://github.com/fairtracks/fairtracks_standard/",,,
Feature-Viewer,http://protein.bio.unipd.it/feature-viewer/,,"ELIXIR Italy",,,"A visualization tool for positional annotations on a sequence","Silvio Tosatto",,
"Federated EGA Finland",https://research.csc.fi/-/fega,,"ELIXIR Finland",,,"Federated service for permanent archiving and sharing of all types of personally identifiable genetic and phenotypic data resulting from biomedical research projects",,,
"FEGA Portugal",https://fegaportugal.biodata.pt,,"ELIXIR Portugal",,,"FEGA Portugal is an archive for secure storing and sharing all kinds of data resulting from biomedical research projects.",,,
FINDbase,https://findbase.org/#/,,"ELIXIR Greece",,,"A worldwide database documenting the prevalence of clinically relevant genome variation allele frequencies in populations worldwide","G.P. Patrinos",https://bio.tools/findbase,
FireProt,https://loschmidt.chemi.muni.cz/fireprot/,,"ELIXIR Czech Republic","Genes and genomes, Molecular and cellular structures, Proteins and proteomes",,"FireProt is a web server for an automated design of thermostable mutants. The design of thermostable mutants is based on the integration of structural and evolutionary information obtained from several bioinformatics databases and computational tools.",,https://bio.tools/fireprot,
"FireProt ASR",https://loschmidt.chemi.muni.cz/fireprotasr/,,"ELIXIR Czech Republic",,,"FireProt-ASR is a web server for an automated calculation of ancestral sequences. Fireprot-ASR allows you to perform ancestral sequence reconstruction starting from a single protein sequence. The pipeline first compiles a dataset of catalytically similar protein sequences, aligns them, construct their phylogenetic tree, and then reconstruct ancestral nodes. It also allows user to input their own data and start from a different point in the pipeline.","Milos Musil",https://bio.tools/fireprot-asr,
FireProtDB,https://loschmidt.chemi.muni.cz/fireprotdb,,"ELIXIR Czech Republic","Proteins and proteomes",,"FireProtDB is a comprehensive, manually curated database of the protein stability data for single-point mutants. Proteins find their use in numerous biomedical and biotechnological applications. Naturally occurring proteins usually cannot withstand harsh industrial environments since they have evolved to function under mild conditions. Increasing protein stability is one of the key determinants of protein applicability. The predictive power of the current computational tools is compromised by the limited experimental data that would allow a rigorous training and testing.","Stanislav Mazurenko",https://bio.tools/fireprotdb,
FLASHDeconv,https://openms.de/FLASHDeconv,,"ELIXIR Germany",,,"OpenMS tool for Top-Down MS data deconvolution.","Oliver Kohlbacher",https://bio.tools/flashdeconv,
FLASHIda,https://openms.de/applications/flashida/,,"ELIXIR Germany","Proteins and proteomes",,"FLASHIda is an intelligent online data acquisition algorithm for top-down proteomics (TDP) that ensures the real-time selection of high-quality precursors of diverse proteoforms. ",,https://bio.tools/flashida,
FLASHQuant,https://www.openms.org/applications/flashquant/,,"ELIXIR Germany","Proteins and proteomes",,"FLASHQuant performs MS1-level label-free quantification data analysis in top-down proteomics, with an automatic overlapping signal resolution method.",,,
Flybase,https://flybase.org/,,"ELIXIR UK","Enzymes, interactions and pathways, Evolution and phylogeny, Genes and genomes, Proteins and proteomes",,"Database and web portal for genetic and genomic information on fruit fly Drosophila melanogaster and related fly species.","Steven Marygold",https://bio.tools/flybase,https://fairsharing.org/FAIRsharing.wrvze3
footprintDB,https://floresta.eead.csic.es/footprintdb,,"ELIXIR Spain","Genes and genomes",,"A web server for assigning putative cis DNA motifs to input transcription factors (TFs) and conversely for predicting which TFs that might recognize input DNA motifs. ",,,
"Freiburg RNA Toolbox",http://rna.informatik.uni-freiburg.de/,,"ELIXIR Germany","Molecular and cellular structures",,"An online access to a series of RNA research tools for sequence-structure alignments, clustering, interaction prediction, identification of homologs etc","Rolf Backofen",https://bio.tools/freiburg_rna_tools,
Fusion,https://fusion.cebitec.uni-bielefeld.de,,"ELIXIR Germany","Genes and genomes",,"Web application for the integrative and combined analysis and visualization of multi-level omics data. (Replaced ProMeTra)","Jens Stoye",https://bio.tools/fusion,
g:Profiler,http://biit.cs.ut.ee/gprofiler/,,"ELIXIR Estonia","Proteins and proteomes","Recommended Interoperability Resources","g:Profiler is a bioinformatics toolkit for characterising and manipulating gene lists of high-throughput genomic data.","Jaak Vilo",https://bio.tools/gprofiler,
"Galactosemia Proteins Database",https://elixir-italy.org/service/galactosemia-proteins-database/,,"ELIXIR Italy","Enzymes, interactions and pathways, Proteins and proteomes",,"A database of structural features for three galactose metabolism enzymes (GALT, GALK, GALE).","Angelo Facchiano (CNR),  Anna Marabotti (UniSA)",https://bio.tools/galactosemia_proteins_database,
"Galaxy Image Analysis",https://github.com/BMCV/galaxy-image-analysis,,"ELIXIR Germany",,,"Workflows and tools for analysis of microscopy image data and cellular phenotyping using Galaxy. Provision of expertise and support of projects requiring automatic image analysis.","Karl Rohr",https://bio.tools/galaxy_image_analysis,
"Galaxy Training Network",https://training.galaxyproject.org/,,"ELIXIR Germany",,,"Collection of tutorials developed and maintained by the worldwide Galaxy community.",,,
Galaxy@Sciensano,http://galaxy.sciensano.be,,"ELIXIR Belgium",,,"Galaxy server dedicated towards public health applications: tools, pipelines and databases for using WGS in routine pathogen typing and characterization","Kevin Vanneste",https://bio.tools/galaxy.sciensano.be,
GATK-LODn,https://nico-curti.github.io/PhDthesis/md/Appendix/Profiling/Pipeline.html,,"ELIXIR Italy","Genes and genomes",,"An optimized pipeline of MuTect and GATK tools to improve the detection of somatic single nucleotide polymorphisms in whole-exome sequencing data.","Gastone Castellani",https://bio.tools/mtoolbox,
GEAR-Genomics,https://www.gear-genomics.com/,,"ELIXIR Germany",,,"Gear is a genome analysis web server hosting applications for molecular biologists to analyze Sanger traces, design PCR primers and perform DNA sequence analyses. All code is open-source and freely available in the GEAR software repositories, including the code for the web server front-end applications and the backend genomics analysis software. Among other command-line applications, the backend code includes Tracy.","Jan Korbel",https://bio.tools/gear-genomics,
GenExVis,https://www.uni-giessen.de/de/fbz/fb08/Inst/bioinformatik/bigi/Services_folder/…,,"ELIXIR Germany","Genes and genomes",,"GenExVis (Gene Expression Visualizer) is a desktop application for exploring and visualizing differential gene expression data. ",,,
GenomeCRISPR,http://genomecrispr.dkfz.de,,"ELIXIR Germany",,,"GenomeCRISPR is a database for high-throughput screening experiments performed by using the CRISPR/Cas9 system. A dynamic web interface guides users through the process of finding information about published CRISPR screens. The database holds detailed data about observed hits and phenotypes. Moreover, it provides knowledge about performance of individual single guide RNAs (sgRNAs) used under various experimental conditions.","Michael Boutros",https://bio.tools/genomecrispr,
GenomeHubs,https://www.southgreen.fr/genomehubs,,"ELIXIR France","Genes and genomes",,"The South Green Genome Hub is a suite of crop-specific community portals to manage genomic datasets with focus on tropical and Mediterranean plants. Currently developed on Banana, Cassava, Cacao, Coffee, Grass, Rice and Sugarcane, genome hubs provide access to multiple datasets (e.g. assemblies, gene product information, metabolic pathways, gene families, transcriptomics and genetic markers).","Gaetan Droc",,
GenomeRNAi,http://www.genomernai.org/,,"ELIXIR Germany",,,"The GenomeRNAi database makes available RNAi phenotype data extracted from the literature, or submitted by data producers directly, for human and Drosophila. It also provides RNAi reagent information, along with an assessment as to their efficiency and specificity.","Michael Boutros",https://bio.tools/genomernai,
"Genomes for Life. Cohort Study of the Genomes of Catalonia (GCAT)",http://www.gcatbiobank.org/,,"ELIXIR Spain","Genes and genomes",,"A comprehensive structural variant haplotype map of the Iberian population from high-coverage whole-genome sequencing",,,
GENOMICUS,http://www.genomicus.biologie.ens.fr/genomicus,,"ELIXIR France","Evolution and phylogeny, Genes and genomes",,"Genomicus is a database and a web server that integrates comparative genome data and ancestral genome reconstruction in a fast and intuitive way. It enables users to navigate in genomes in several dimensions: linearly along chromosome axes, transversaly across different species, and chronologicaly along evolutionary time. A user-friendly graphical interface allows syntenic comparisons and gene order alignments between pairs of genomes or multiple genomes at different scales: local gene order, karyotypes, matrix plots, etc.  Different phylums such as Vertebrates, Plants, Fungi, Metazoa (as per Ensembl Genomes) are represented and regularly updated, as well as specific versions on Tunicates, Fish and Amphioxus.  ","Alexandra Louis",https://bio.tools/genomicus,
GeoMine,https://proteins.plus/2ozr#geomine,,"ELIXIR Germany","Proteins and proteomes",,"GeoMine enables textual, numerical and 3D searching with full chemical awareness in binding sites of the entire PDB dataset. ",,https://bio.tools/geomine,
GET_HOMOLOGUES,https://github.com/eead-csic-compbio/get_homologues,,"ELIXIR Spain","Genes and genomes",,"A versatile software package for pan-genome analysis, including GET_HOMOLOGUES and GET_HOMOLOGUES-EST",,https://bio.tools/get_homologues,
Gigwa,https://southgreen.fr/content/gigwa,,"ELIXIR France","Genes and genomes",,"Gigwa is a web-based software platform designed to manage and analyze large-scale genotyping data. It provides a robust framework for researchers and breeders to handle, explore, and run complex queries on genotype data across various species","Guilhem Sempéré",,
GINsim,http://ginsim.org,,"ELIXIR France","Enzymes, interactions and pathways",,"GINsim (Gene Interaction Network simulation) is a computer tool for the modeling and simulation of genetic regulatory networks.
	Using its user-friendly graphical interface, users can specify a signed regulatory graph, define boolean or multivalued logical functions, and then simulate and analyse its qualitative dynamical behaviour.","Denis THIEFFRY",https://bio.tools/ginsim,
Glittr.org,https://glittr.org/,,"ELIXIR Switzerland",,,"Glittr.org is a web application that helps you find and compare bioinformatics training material on GitHub and GitLab.","Patricia M. Palagi",https://bio.tools/glittr,
GlobalFungi,https://globalfungi.com/,,"ELIXIR Czech Republic",,,"User interface to data from high-throughput sequencing studies of fungal communities across terrestrial biomes. Includes sequencing data, sample locations, sample metadata.","Tomáš Větrovský",https://bio.tools/globalfungi,
Glyco@Expasy,https://glycoproteome.expasy.org/glycomics-expasy/,,"ELIXIR Switzerland","Proteins and proteomes",,"Glyco@Expasy centralizes web-based glycoinformatics resources developed within an international network of glycoscientists. The philosophy is that it should be {glycoscientist AND protein scientist}–friendly with the aim of (1) popularizing the use of bioinformatics in glycobiology and (2) emphasizing the relationship between glycobiology and protein-oriented bioinformatics resources. Glyco@Expasy was designed with glycoscientists to meet the growing needs of the community for glycoinformatics.","Amos Bairoch",https://bio.tools/glyco-expasy,
GlyConnect,https://glyconnect.expasy.org/,,"ELIXIR Switzerland","Proteins and proteomes",,"GlyConnect is a platform integrating several sources of information to characterise the molecular actors of glycosylation, mainly glycoproteins and N- and O-linked glycans. The purpose of GlyConnect is to bring out in a single resource the relationships between glycans, the proteins that carry them, the enzymes that synthesise or degrade them and the proteins that bind them.",,https://bio.tools/glyconnect,
GnpIS,https://urgi.versailles.inrae.fr/gnpis/,,"ELIXIR France","Genes and genomes, Proteins and proteomes",,"GnpIS is an interoperable Information System for plant and pest genomics. It is a powerful multispecies centralized information system with seven linked relational databases. ","Anne-Francoise Adam-Blondon",https://bio.tools/gnpis,http://doi.org/10.25504/fairsharing.dw22y3
"GO annotation (GOA)",https://www.ebi.ac.uk/GOA/index,,EMBL-EBI,"Genes and genomes, Proteins and proteomes",,"The UniProt  GO annotation program (GOA) aims to provide high-quality Gene Ontology (GO) annotations to proteins in the UniProt Knowledgebase (UniProtKB).",,https://bio.tools/goa,http://doi.org/10.25504/fairsharing.7zffgc
GprotPRED,http://aias.biol.uoa.gr/GprotPRED/,,"ELIXIR Greece",,,"Detection of distinct Galpha families, Gbeta and Ggamma subunits of heterotrimeric G-proteins using profile Hidden Markov Models (pHMMs).","M.C. Theodoropoulou",https://bio.tools/gprotpred,
GraphWeb,http://biit.cs.ut.ee/graphweb/,,"ELIXIR Estonia","Enzymes, interactions and pathways",,"GraphWeb is a public web server for graph-based analysis of biological networks.","Jaak Vilo",https://bio.tools/graphweb,
gtrellis,http://bioconductor.org/packages/devel/bioc/html/gtrellis.html,,"ELIXIR Germany",,,"gtrellis is an R package which facilitates genome-level trellis layout, for enhancing visualisation and graphical layout","Roland Eils",https://bio.tools/gtrellis,
"Gulbenkian Training Programme in Bioinformatics (GTPB) (ELIXIR Portugal)",http://hdl.handle.net/10400.7/852,,,,,"The GTPB runs face-to-face Bioinformatics Training Courses regularly at the Instituto Gulbenkian de Ciência.","Pedro Fernandes",,
"GWAS Catalog",https://www.ebi.ac.uk/gwas/,,EMBL-EBI,"Genes and genomes, Literature","Core Data Resources, ELIXIR Deposition Databases, Recommended Interoperability Resources","The NHGRI-EBI GWAS Catalog is a quality-controlled, manually curated, literature-derived collection of all published genome-wide association studies.
	 ","Helen Parkinson",https://bio.tools/gwas_catalog,https://fairsharing.org/FAIRsharing.blUMRx
"GWAS Central",https://help.gwascentral.org/about/,,"ELIXIR UK",,,"Providing a centralized compilation of summary level findings from genetic association studies, both large and small","Anthony J Brookes",https://bio.tools/GWAS_Central,https://fairsharing.org/FAIRsharing.vkr57k
HAMAP,http://hamap.expasy.org,,"ELIXIR Switzerland","Proteins and proteomes",,"HAMAP is a system for the classification and functional annotation of protein sequences. It consists of a collection of expert curated family profiles for protein classification and associated rules for protein annotation. ","Ioannis Xenarios",https://bio.tools/hamap,http://doi.org/10.25504/fairsharing.63m4ss
HapCol,http://hapcol.algolab.eu/,,"ELIXIR Italy","Genes and genomes",,"Performs haplotype assembly from long gapless reads.","Paola Bonizzoni",https://bio.tools/hapcol,
HCVIVdb,http://www.hcvivdb.org/,,"ELIXIR Czech Republic","Molecular and cellular structures",,"A specialized and medically-oriented database of published variations observed within the internal ribosome entry site (IRES) variants in hepatitis C virus.",,https://bio.tools/hcvivdb,
"Health Data Research Gateway",https://healthdatagateway.org/en,,"ELIXIR UK",,,"The Gateway streamlines the end-to-end user journey to search, discover and request access to the wealth of health and associated Datasets, Analysis Scripts & Software, Publications and Research Projects from across the UK and beyond.","Peter Harrison and Emily Jefferson",,https://doi.org/10.25504/FAIRsharing.nh1DmP
HELIXER,https://github.com/weberlab-hhu/Helixer,,"ELIXIR Germany","Genes and genomes",,"Enables you to set up and train models for ab initio prediction of gene structure. That is, to perform ""gene calling"" and identify which base pairs in a genome belong to the UTR/CDS/Intron of genes.",,https://bio.tools/helixer,
"Help Desk (SURF)",https://www.surf.nl/en/about-surf/subsidiaries/surfsara/,,"ELIXIR Netherlands",,,"Under Development in collaboration with SURFsara and Lygature, based on prior experience deploying tools for end users / life scientists.","Irene Nooren / Jan Willem Boiten",,
HERVd,http://herv.img.cas.cz,,"ELIXIR Czech Republic","Genes and genomes",,"Human Endogenous RetroViruses Database.","Jan Pačes",https://bio.tools/hervd,http://doi.org/10.25504/fairsharing.jm8fzm
HGNC,https://www.genenames.org/,,"ELIXIR UK","Genes and genomes","Core Data Resources","HUGO Gene Nomenclature Committee, responsible for approving unique symbols and names for human loci, including protein coding genes, ncRNA genes and pseudogenes, to allow unambiguous scientific communication.","Elspeth Bruford, Ewan Birney",https://bio.tools/hgnc,https://fairsharing.org/FAIRsharing.29we0s
HilbertCurve,http://bioconductor.org/packages/devel/bioc/html/HilbertCurve.html,,"ELIXIR Germany",,,"HilbertCurve is an R package which generates 2D Hilbert curves for genomic and other data","Roland Eils",https://bio.tools/hilbertcurve,
"Hipathia suite",http://hipathia.babelomics.org/,,"ELIXIR Spain","Genes and genomes",,"A web tool for the interpretation of the consequences of the combined changes of gene expression levels and/or genomic mutations in the context of signalling pathways. ",,,
"HLA Ligand Atlas",https://hla-ligand-atlas.org/welcome,,"ELIXIR Germany",,,"The HLA Ligand Atlas is a comprehensive collection of tissue and HLA allele specific HLA ligands that are naturally presented. The data was generated in standardized mass spectrometry experiments and analyzed using our reproducible computational analysis workflow. (Data analysed with the OpenMS MHCquant workflow) ","Oliver Kohlbacher",,
HMMTOP,http://www.enzim.hu/hmmtop,,"ELIXIR Hungary","Enzymes, interactions and pathways, Proteins and proteomes",,"Estimation of transmembrane regions based on amino acid sequence","Tusnády, G.E.",https://bio.tools/hmmtop,
HmtDB,"http://www.hmtdb.uniba.it/, https://ngdc.cncb.ac.cn/databasecommons/database/id/568",,"ELIXIR Italy","Evolution and phylogeny, Genes and genomes",,"Database of human mitochondrial genomes from primary INSDC databases, personal submissions and application of MtoolBox to NGS data.","Marcella Attimonelli",https://bio.tools/hmtdb,https://fairsharing.org/FAIRsharing.m90ne8
